,,,,,,,,,,,,,,,,,
,,,,,,Rapid.AI - Indirect Procurement Assessment Tool - Questionnaire,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Category Levels,,,Question Theme,Assessment questionnaire,Maturity Range,,,,,,,Lever,,,
,Q No.,L1,L2,L3,Question Theme,Questions,Low (1),Little (2),Middle (3),High (4),Savings% (low),Savings% (high),Savings Opportunity,Lever Description,4 Strategies,16 Levers,64 Methods
Office SuppliesNAConsolidate to max 3 suppliers for all office material spending,1,Office Supplies,NA,,,% Spend with the top 3 suppliers,>60%,>70%,>80%,>90%,1%,2%,1.0%-2.0%,Consolidate to max 3 suppliers for all office material spending,Leverage Competition Among Suppliers, Rationalize Supply Base, Consolidate volume/reduce number of suppliers
TravelAirIncluding budget airlines offers cost-effective options and leverages competition to reduce prices.,2,Travel,Air,,,Are budget airlines included in the portal?,No or we do not have a travel portal,"No, but can be booked and expensed privately","Yes, without its highlighting","Yes, are displayed as preferred",1%,1%,0.5%-1.0%,Including budget airlines offers cost-effective options and leverages competition to reduce prices.,Leverage Competition Among Suppliers, Standardize Specifications, Leverage competition (general)
TravelRailOffering loyalty cards for rail travel reduces costs and enhances travel benefits through rewards.,3,Travel,Rail,,,Are employees able to apply for a loyalty card for the ground transport (rails)?,"Yes, anyone can submit a request","After coordination with supervisors, an application can be submitted and approved",Standard business case must be completed,Anyone who regularly rides a train can submit an application,1%,2%,1.0%-2.0%,Offering loyalty cards for rail travel reduces costs and enhances travel benefits through rewards.,Seek Joint Advantage with Suppliers, Joint Process Improvement, Improve loyalty programs/discounts
"FleetFuelDrive efficiently to save on fuel, reduce maintenance costs, and potentially earn insurance discounts.",4,Fleet,Fuel,,,Are employees incentivized to drive more efficient?,No,Employees are informed about the general policy of efficient driving,Once employees receive a car they can conduct voluntary trainings,Yes - training on efficienct driving is mandatory to take. Telemetic supports transparency,1%,2%,1.0%-2.0%,"Drive efficiently to save on fuel, reduce maintenance costs, and potentially earn insurance discounts.",Change the Nature of Demand, Reduce Complexity," Improve operational efficiency (e.g., fuel efficiency)"
