supplier_name,spend_usd,country,category,subcategory,transaction_date,supplier_region
Golden Sun Oils Ltd,500000,India,Edible Oils,Sunflower Oil,2024-01-15,Asia Pacific
PackSecure Solutions,450000,China,Packaging,Flexible Packaging,2024-01-15,Asia Pacific
AgroPure Ltd,425000,Malaysia,Edible Oils,Palm Oil,2024-01-16,Asia Pacific
Global Pack Corp,420000,India,Packaging,Rigid Containers,2024-01-16,Asia Pacific
BioOil Industries,380000,Indonesia,Edible Oils,Coconut Oil,2024-01-17,Asia Pacific
EcoPack Industries,385000,Vietnam,Packaging,Sustainable Packaging,2024-01-17,Asia Pacific
PureHarvest Oils,320000,Australia,Edible Oils,Canola Oil,2024-01-18,Australia
Premier Packaging,355000,Thailand,Packaging,Labels & Tags,2024-01-18,Asia Pacific
Global Oil Traders,290000,Singapore,Edible Oils,Soybean Oil,2024-01-19,Asia Pacific
SmartPack Technologies,325000,Singapore,Packaging,Smart Packaging,2024-01-19,Asia Pacific
Sunrise Edible Oils,265000,Thailand,Edible Oils,Rice Bran Oil,2024-01-20,Asia Pacific
Quality Pack Ltd,295000,Malaysia,Packaging,Plastic Containers,2024-01-20,Asia Pacific
Premium Oil Corp,240000,Vietnam,Edible Oils,Sesame Oil,2024-01-21,Asia Pacific
PackMaster Solutions,265000,Indonesia,Packaging,Metal Packaging,2024-01-21,Asia Pacific
Heritage Oils,215000,Philippines,Edible Oils,Corn Oil,2024-01-22,Asia Pacific
GreenPack Corp,245000,Philippines,Packaging,Eco-friendly Materials,2024-01-22,Asia Pacific
Quality Oil Solutions,190000,South Korea,Edible Oils,Olive Oil,2024-01-23,Asia Pacific
Elite Packaging,225000,South Korea,Packaging,Glass Containers,2024-01-23,Asia Pacific
Elite Oil Traders,175000,Japan,Edible Oils,Grape Seed Oil,2024-01-24,Asia Pacific
PackInnovate Ltd,205000,Japan,Packaging,Active Packaging,2024-01-24,Asia Pacific
