supplier_name,spend_usd,country,category,subcategory,transaction_date,supplier_region
Golden Sun Oils Ltd,500000,India,Edible Oils,Sunflower Oil,2024-01-15,Asia Pacific
AgroPure Ltd,425000,Malaysia,Edible Oils,Palm Oil,2024-01-16,Asia Pacific
BioOil Industries,380000,Indonesia,Edible Oils,Coconut Oil,2024-01-17,Asia Pacific
PureHarvest Oils,320000,Australia,Edible Oils,Canola Oil,2024-01-18,Australia
Global Oil Traders,290000,Singapore,Edible Oils,Soybean Oil,2024-01-19,Asia Pacific
Sunrise Edible Oils,265000,Thailand,Edible Oils,Rice Bran Oil,2024-01-20,Asia Pacific
Premium Oil Corp,240000,Vietnam,Edible Oils,Sesame Oil,2024-01-21,Asia Pacific
Heritage Oils,215000,Philippines,Edible Oils,Corn Oil,2024-01-22,Asia Pacific
Quality Oil Solutions,190000,South Korea,Edible Oils,Olive Oil,2024-01-23,Asia Pacific
Elite Oil Traders,175000,Japan,Edible Oils,Grape Seed Oil,2024-01-24,Asia Pacific
Golden Sun Oils Ltd,520000,India,Edible Oils,Sunflower Oil,2024-02-15,Asia Pacific
AgroPure Ltd,445000,Malaysia,Edible Oils,Palm Oil,2024-02-16,Asia Pacific
BioOil Industries,395000,Indonesia,Edible Oils,Coconut Oil,2024-02-17,Asia Pacific
PureHarvest Oils,335000,Australia,Edible Oils,Canola Oil,2024-02-18,Australia
Global Oil Traders,305000,Singapore,Edible Oils,Soybean Oil,2024-02-19,Asia Pacific
Sunrise Edible Oils,275000,Thailand,Edible Oils,Rice Bran Oil,2024-02-20,Asia Pacific
Premium Oil Corp,255000,Vietnam,Edible Oils,Sesame Oil,2024-02-21,Asia Pacific
Heritage Oils,225000,Philippines,Edible Oils,Corn Oil,2024-02-22,Asia Pacific
Quality Oil Solutions,205000,South Korea,Edible Oils,Olive Oil,2024-02-23,Asia Pacific
Elite Oil Traders,185000,Japan,Edible Oils,Grape Seed Oil,2024-02-24,Asia Pacific
