supplier_name,spend_usd,country,category,subcategory,transaction_date,supplier_region
PackSecure Solutions,450000,China,Packaging,Flexible Packaging,2024-01-15,Asia Pacific
Global Pack Corp,420000,India,Packaging,Rigid Containers,2024-01-16,Asia Pacific
EcoPack Industries,385000,Vietnam,Packaging,Sustainable Packaging,2024-01-17,Asia Pacific
Premier Packaging,355000,Thailand,Packaging,Labels & Tags,2024-01-18,Asia Pacific
SmartPack Technologies,325000,Singapore,Packaging,Smart Packaging,2024-01-19,Asia Pacific
Quality Pack Ltd,295000,Malaysia,Packaging,Plastic Containers,2024-01-20,Asia Pacific
PackMaster Solutions,265000,Indonesia,Packaging,Metal Packaging,2024-01-21,Asia Pacific
GreenPack Corp,245000,Philippines,Packaging,Eco-friendly Materials,2024-01-22,Asia Pacific
Elite Packaging,225000,South Korea,Packaging,Glass Containers,2024-01-23,Asia Pacific
PackInnovate Ltd,205000,Japan,Packaging,Active Packaging,2024-01-24,Asia Pacific
PackSecure Solutions,465000,China,Packaging,Flexible Packaging,2024-02-15,Asia Pacific
Global Pack Corp,435000,India,Packaging,Rigid Containers,2024-02-16,Asia Pacific
EcoPack Industries,400000,Vietnam,Packaging,Sustainable Packaging,2024-02-17,Asia Pacific
Premier Packaging,370000,Thailand,Packaging,Labels & Tags,2024-02-18,Asia Pacific
SmartPack Technologies,340000,Singapore,Packaging,Smart Packaging,2024-02-19,Asia Pacific
Quality Pack Ltd,310000,Malaysia,Packaging,Plastic Containers,2024-02-20,Asia Pacific
PackMaster Solutions,280000,Indonesia,Packaging,Metal Packaging,2024-02-21,Asia Pacific
GreenPack Corp,260000,Philippines,Packaging,Eco-friendly Materials,2024-02-22,Asia Pacific
Elite Packaging,240000,South Korea,Packaging,Glass Containers,2024-02-23,Asia Pacific
PackInnovate Ltd,220000,Japan,Packaging,Active Packaging,2024-02-24,Asia Pacific
